els Plans de Sió;4394,2315067089;56;0;0;4394,2315067089
els Prats de Rei;1909,6495100565;19;0;0;1909,6495100565
els Torms;707,8069409313;14;0;0;707,8069409313
el Vendrell;1175,1802906953;25;20,3641312967;1;1195,5444219921
el Vilosell;96,9357149311;1;0;0;96,9357149311
es Bòrdes;1337,70592609;17;0;0;1337,70592609
Esparreguera;13586,9994789669;101;0;0;13586,9994789669
Espinelves;930,930121765;9;0;0;930,930121765
Esplugues de Llobregat;558,912116382;14;0;0;558,912116382
Espolla;0;0;0;0;0
Esponellà;139,988958071;1;764,0111770194;5;904,0001350903
Espot;2780,4295696817;40;0;0;2780,4295696817
Estamariu;108,383411701;2;0;0;108,383411701
Estaràs;2553,7771819124;17;0;0;2553,7771819124
Esterri d'Àneu;0;0;0;0;0
Esterri de Cardós;0;0;0;0;0
Falset;3826,1650348737;54;0;0;3826,1650348737
Farrera;640,9729867654;6;1390,9781504509;22;2031,9511372163
Figaró-Montmany;630,8563381341;3;0;0;630,8563381341
Fígols;580,9757063549;8;0;0;580,9757063549
Fígols i Alinyà;2188,0444620568;21;822,7061750978;4;3010,7506371545
Figueres;80,8259781377;5;0;0;80,8259781377
Figuerola del Camp;2250,7418063548;28;0;0;2250,7418063548
Flaçà;0;0;0;0;0
Flix;4645,6076769658;50;0;0;4645,6076769658
Fogars de la Selva;1883,7462375122;9;0;0;1883,7462375122
Fogars de Montclús;1582,1694054609;7;0;0;1582,1694054609
Foixà;366,3694864996;1;528,855078445;3;895,2245649446
Folgueroles;1171,323342655;18;96,8904224087;1;1268,2137650637
Fondarella;1369,5055357637;8;0;0;1369,5055357637
Fonollosa;4054,7644006254;36;0;0;4054,7644006254
Fontanals de Cerdanya;11510,6915148761;71;149,9432731139;2;11660,63478799
Fontanilles;1109,9048131516;10;705,1597593017;10;1815,0645724533
Fontcoberta;218,9699730689;1;658,9052431725;11;877,8752162415
Font-rubí;0;0;0;0;0
Foradada;412,7067272331;6;755,7302588288;8;1168,436986062
Forallac;7604,2019122691;41;162,7296415856;2;7766,9315538546
Forès;1501,0472129482;29;0;0;1501,0472129482
Fornells de la Selva;2754,2837953929;8;0;0;2754,2837953929
Fortià;0;0;0;0;0
Freginals;228,1155925439;2;0;0;228,1155925439
Fulleda;897,5940070043;14;0;0;897,5940070043
Gaià;562,0110636393;5;0;0;562,0110636393
Gallifa;1429,0577285674;7;0;0;1429,0577285674
Gandesa;1584,4911786633;15;0;0;1584,4911786633
Garcia;2631,7616901547;39;0;0;2631,7616901547
Garrigàs;0;0;40,1915597285;1;40,1915597285
Garrigoles;515,1499640285;5;1020,4142330594;10;1535,5641970879
Garriguella;0;0;0;0;0
Gavà;1157,2806464692;17;0;0;1157,2806464692
Gavet de la Conca;4848,5763119894;59;1214,830614275;15;6063,4069262644
Gelida;88,7737865338;2;0;0;88,7737865338
Ger;4124,5733783416;30;0;0;4124,5733783416
Gimenells i el Pla de la Font;3058,5284401556;17;0;0;3058,5284401556
Ginestar;2006,7623549307;31;0;0;2006,7623549307
Girona;7826,354803028;26;31,7716710132;2;7858,1264740412
Gironella;8545,9807343411;76;607,5543418796;8;9153,5350762207
Gisclareny;0;0;0;0;0
Godall;58,2235144984;1;0;0;58,2235144984
Golmés;10248,43470741;58;0;0;10248,43470741
Gombrèn;4721,4341170616;25;0;0;4721,4341170616
Gósol;1035,5691994515;8;2809,1503803419;25;3844,7195797933
Granera;296,8124583554;3;0;0;296,8124583554
Granollers;10848,0939548604;80;29,6915938117;1;10877,7855486721
Granyanella;5228,9512157676;44;0;0;5228,9512157676
Granyena de les Garrigues;206,5586421742;5;0;0;206,5586421742
Granyena de Segarra;1984,8778337601;17;0;0;1984,8778337601
Gratallops;2499,3385270721;38;0;0;2499,3385270721
Gualba;3574,0147539351;23;0;0;3574,0147539351
Gualta;340,0405966185;5;3353,3099411395;14;3693,350537758
Guardiola de Berguedà;2420,2202392563;16;0;0;2420,2202392563
Guils de Cerdanya;5507,5695393212;46;0;0;5507,5695393212
Guimerà;277,4173814373;2;0;0;277,4173814373
Guissona;7202,0853679952;60;0;0;7202,0853679952
Guixers;1439,2481012419;4;0;0;1439,2481012419
Gurb;8324,8933579309;55;1183,1505108925;6;9508,0438688234
Horta de Sant Joan;550,8370168805;17;0;0;550,8370168805
Hostalric;286,2307936589;10;0;0;286,2307936589
Igualada;612,0876844566;7;0;0;612,0876844566
Isona i Conca Dellà;4957,8253040804;60;3711,7122779924;55;8669,5375820728
Isòvol;1501,344819784;17;1539,3162124939;12;3040,6610322779
Ivars de Noguera;3766,0324906952;27;0;0;3766,0324906952
Ivars d'Urgell;4180,2589563013;45;0;0;4180,2589563013
Ivorra;475,5975553746;9;0;0;475,5975553746
Jafre;304,743235555;5;0;0;304,743235555
Jorba;0;0;0;0;0
Josa i Tuixén;3438,0231521605;38;0;0;3438,0231521605
Juià;985,1244281605;6;0;0;985,1244281605
Juncosa;7685,5546418136;27;0;0;7685,5546418136
Juneda;880,9302559524;17;0;0;880,9302559524
la Baronia de Rialb;2330,0031905521;14;0;0;2330,0031905521
la Bisbal de Falset;2947,7765751475;20;0;0;2947,7765751475
la Bisbal del Penedès;3,1175178596;1;0;0;3,1175178596
la Bisbal d'Empordà;335,2910653548;6;8,6237750325;1;343,9148403873
la Canonja;1016,36646859;14;0;0;1016,36646859
la Cellera de Ter;0;0;0;0;0
la Coma i la Pedra;6068,9407091737;28;0;0;6068,9407091737
la Fatarella;7963,5264399146;21;0;0;7963,5264399146
la Febró;271,2503640196;3;0;0;271,2503640196
la Figuera;408,5338854287;5;0;0;408,5338854287
la Floresta;1150,6434715851;12;0;0;1150,6434715851
la Fuliola;5208,8831977346;46;0;0;5208,8831977346
la Galera;535,3080909328;7;0;0;535,3080909328
la Garriga;8946,9731637932;107;560,5371255975;9;9507,5102893908
la Granada;178,8892888257;3;0;0;178,8892888257
la Granadella;786,2618044218;14;0;0;786,2618044218
la Granja d'Escarp;3631,2184362755;37;0;0;3631,2184362755
La Guingueta d'Àneu;1796,5968688831;15;1148,5686332124;11;2945,1655020955
la Jonquera;198,3969755637;5;0;0;198,3969755637
l'Albagés;1204,7121845659;12;0;0;1204,7121845659
l'Albi;258,8451350135;7;697,0073252396;12;955,8524602531
l'Albiol;1044,6817091792;4;0;0;1044,6817091792
l'Aldea;13807,140419721;54;0;0;13807,140419721
l'Aleixar;3990,1834919518;21;96,5194138457;3;4086,7029057975
la Llacuna;0;0;0;0;0
la Llagosta;2415,105427661;30;818,3257499699;8;3233,4311776309
la Masó;0;0;0;0;0
l'Ametlla del Vallès;12786,4627392477;83;243,1141011886;3;13029,5768404363
l'Ametlla de Mar;7712,503010759;113;125,0237005087;2;7837,5267112677
la Molsosa;1723,885721844;15;354,9673296125;5;2078,8530514565
la Morera de Montsant;1043,6057216081;12;0;0;1043,6057216081
l'Ampolla;8495,802631973;76;0;0;8495,802631973
la Nou de Berguedà;682,0033851952;6;0;0;682,0033851952
la Nou de Gaià;48,7893048526;2;82,5817205899;5;131,3710254425
la Palma d'Ebre;5229,0881133919;42;0;0;5229,0881133919
la Palma de Cervelló;834,5330802207;6;0;0;834,5330802207
la Pera;1402,297751824;13;697,1027151205;10;2099,4004669446
la Pobla de Cérvoles;157,5642874863;2;0;0;157,5642874863
la Pobla de Claramunt;7,1049628666;1;0;0;7,1049628666
la Pobla de Lillet;5510,5009496547;53;0;0;5510,5009496547
la Pobla de Mafumet;11967,456032378;62;0;0;11967,456032378
la Pobla de Massaluca;390,9846038146;8;0;0;390,9846038146
la Pobla de Montornès;4463,9996420273;52;70,2431789655;1;4534,2428209928
la Pobla de Segur;3215,2290073404;38;0;0;3215,2290073404
la Portella;1739,5285428786;22;0;0;1739,5285428786
la Quar;0;0;20,3961712325;1;20,3961712325
l'Arboç;140,5103002851;4;0;0;140,5103002851
l'Argentera;312,2320806094;8;0;0;312,2320806094
la Riba;2952,4883596843;30;0;0;2952,4883596843
la Riera de Gaià;3271,4833221935;22;0;0;3271,4833221935
l'Armentera;248,4488312325;2;0;0;248,4488312325
la Roca del Vallès;9885,5815766233;64;351,4098591088;2;10236,9914357321
la Secuita;3602,6108790179;41;0;0;3602,6108790179
la Selva del Camp;2259,283645222;38;0;0;2259,283645222
la Selva de Mar;9,0271413638;1;0;0;9,0271413638
la Sénia;4742,1291020412;26;0;0;4742,1291020412
la Sentiu de Sió;2674,495350292;15;0;0;2674,495350292
la Seu d'Urgell;18216,4470290871;126;1762,0101176152;25;19978,4571467023
la Tallada d'Empordà;2243,8375354639;23;0;0;2243,8375354639
la Torre de Cabdella;4462,2155159565;64;198,8015497468;3;4661,0170657033
