Codi	Poblacio	Residential No Name(m)	Num Residential No Name	Living Street No Name(m)	Num Living Street No Name	Total No Name(m)	Total(Residential + Living street)	Perc280616
172121	Vidrà	1.016,795	10	0,000	0	1.016,795	1.839,820	0,55
172137	Vidreres	9.373,332	66	0,000	0	9.373,332	88.284,855	0,11
252430	Vielha e Mijaran	11.731,877	92	161,966	1	11.893,843	20.049,849	0,59
431652	Vilabella	5.676,929	42	0,000	0	5.676,929	5.676,929	1,00
172142	Vilabertran	0,000	0	0,000	0	0,000	3.296,136	0,00
172155	Vilablareix	331,801	3	0,000	0	331,801	25.517,177	0,01
1082994	Vilada	1.857,698	18	0,000	0	1.857,698	5.111,994	0,36
172174	Viladamat	852,187	8	513,752	7	1.365,939	5.202,415	0,26
172168	Viladasens	408,731	3	541,244	7	949,975	1.369,358	0,69
1083015	Viladecans	15.123,553	152	419,386	4	15.542,939	95.374,061	0,16
1083008	Viladecavalls	7.827,272	95	0,000	0	7.827,272	52.680,748	0,15
172180	Vilademuls	2.257,167	13	3.120,874	31	5.378,042	5.378,042	1,00
172207	Viladrau	7.202,427	50	0,000	0	7.202,427	21.015,221	0,34
172214	Vilafant	322,226	6	0,000	0	322,226	31.544,364	0,01
1083054	Vilafranca del Penedès	458,939	5	0,000	0	458,939	78.403,987	0,01
252445	Vilagrassa	1.108,623	13	0,000	0	1.108,623	5.361,095	0,21
172235	Vilajuïga	0,000	0	0,000	0	0,000	7.838,077	0,00
431750	Vilalba dels Arcs	2.826,479	27	0,000	0	2.826,479	4.617,144	0,61
1083067	Vilalba Sasserra	3.637,498	21	0,000	0	3.637,498	3.637,498	1,00
252458	Vilaller	3.425,873	29	0,000	0	3.425,873	7.165,612	0,48
172240	Vilallonga de Ter	3.795,984	21	278,027	2	4.074,010	4.074,010	1,00
431665	Vilallonga del Camp	4.367,251	46	13,317	1	4.380,568	10.306,739	0,43
172253	Vilamacolum	1.382,477	12	0,000	0	1.382,477	4.800,219	0,29
172266	Vilamalla	0,000	0	0,000	0	0,000	19.875,211	0,00
172272	Vilamaniscle	44,658	1	0,000	0	44,658	2.994,819	0,01
252477	Vilamòs	1.121,951	11	0,000	0	1.121,951	1.121,951	1,00
172288	Vilanant	1.492,451	14	0,000	0	1.492,451	4.979,680	0,30
252483	Vilanova de Bellpuig	8.193,065	36	0,000	0	8.193,065	8.193,065	1,00
252542	Vilanova de la Barca	7.378,070	31	0,000	0	7.378,070	9.845,290	0,75
252496	Vilanova de l'Aguda	1.001,114	15	0,000	0	1.001,114	3.016,289	0,33
252509	Vilanova de Meià	2.128,765	29	803,923	14	2.932,688	6.373,619	0,46
431687	Vilanova de Prades	1.593,175	17	0,000	0	1.593,175	1.593,175	1,00
1083036	Vilanova de Sau	372,701	7	0,000	0	372,701	1.684,810	0,22
252516	Vilanova de Segrià	3.774,422	26	0,000	0	3.774,422	10.068,144	0,37
1083020	Vilanova del Camí	5.708,343	38	0,000	0	5.708,343	35.976,274	0,16
1089024	Vilanova del Vallès	26.088,000	79	0,000	0	26.088,000	53.961,361	0,48
431671	Vilanova d'Escornalbou	4.568,013	32	0,000	0	4.568,013	4.568,013	1,00
1083073	Vilanova i la Geltrú	398,089	9	0,000	0	398,089	156.678,643	0,00
431690	Vilaplana	1.683,766	17	0,000	0	1.683,766	2.794,851	0,60
431704	Vila-rodona	6.035,296	23	0,000	0	6.035,296	9.124,180	0,66
172305	Vila-sacra	0,000	0	0,000	0	0,000	4.909,392	0,00
252521	Vila-sana	3.690,650	14	0,000	0	3.690,650	8.178,294	0,45
431711	Vila-seca	9.761,707	36	0,000	0	9.761,707	54.715,463	0,18
1082140	Vilassar de Dalt	11.482,944	62	704,702	8	12.187,646	36.239,656	0,34
1082191	Vilassar de Mar	4.229,576	40	310,711	4	4.540,287	30.202,911	0,15
172229	Vilaür	920,444	7	988,750	13	1.909,195	2.886,136	0,66
431726	Vilaverd	3.737,824	30	299,094	1	4.036,918	4.036,918	1,00
1083041	Vilobí del Penedès	0,000	0	13,380	1	13,380	13.543,310	0,00
172333	Vilobí d'Onyar	2.926,701	16	0,000	0	2.926,701	23.603,181	0,12
172327	Vilopriu	3.094,227	15	477,296	4	3.571,523	3.724,022	0,96
431763	Vimbodí i Poblet	7.333,244	53	0,000	0	7.333,244	8.333,251	0,88
252555	Vinaixa	3.116,801	28	0,000	0	3.116,801	3.724,393	0,84
431779	Vinebre	457,931	12	0,000	0	457,931	3.986,262	0,11
431785	Vinyols i els Arcs	2.391,845	27	0,000	0	2.391,845	12.974,861	0,18
1083089	Viver i Serrateix	0,000	0	202,719	1	202,719	202,719	1,00
430521	Xerta	548,500	4	18,793	1	567,293	4.488,715	0,13
								
								
