Id;Poblacio;Total No Name(m);Total(Residential + Living street)
340561;Salàs de Pallars;659,9622629;3739,314298
348946;Saldes;1168,329678;4253,539594
344935;Sales de Llierca;0;0
348945;Sallent;10965,94815;32524,00554
345494;Salomó;2945,956455;4933,381253
343188;Salou;29229,38579;83479,78931
344934;Salt;917,0497717;34898,05932
340562;Sanaüja;1385,702768;4553,594925
348950;Sant Adrià de Besòs;4362,72318;36207,16083
348949;Sant Agustí de Lluçanès;1720,364792;1720,364792
348948;Sant Andreu de la Barca;15676,5158;51073,85675
348947;Sant Andreu de Llavaneres;22007,02579;64796,5101
344933;Sant Andreu Salou;170,0829202;170,0829202
342522;Sant Aniol de Finestres;260,8584315;1417,882467
348952;Sant Antoni de Vilamajor;5685,362871;50376,54201
348951;Sant Bartomeu del Grau;4118,6643;5505,227651
347545;Sant Boi de Llobregat;31791,51219;125989,6814
347544;Sant Boi de Lluçanès;3772,881965;6632,7738
345495;Sant Carles de la Ràpita;7992,208554;63331,81739
342447;Sant Cebrià de Vallalta;15034,87387;35904,83794
347543;Sant Celoni;36105,26559;70323,63589
347541;Sant Climent de Llobregat;3985,24103;9774,387603
344941;Sant Climent Sescebes;200,0895982;4677,787616
347540;Sant Cugat del Vallès;48727,73037;266448,5924
347538;Sant Cugat Sesgarrigues;938,7394765;10129,10164
340549;Sant Esteve de la Sarga;3582,163703;3719,634191
347537;Sant Esteve de Palautordera;3194,180767;16856,42135
342427;Sant Esteve Sesrovires;40616,66788;49482,62568
344940;Sant Feliu de Buixalleu;14051,33323;18100,25933
340975;Sant Feliu de Codines;2051,632344;33223,67575
340210;Sant Feliu de Guíxols;4838,384587;92186,82708
343436;Sant Feliu de Llobregat;1207,509385;44415,76056
340211;Sant Feliu de Pallerols;1362,418184;8612,662425
343441;Sant Feliu Sasserra;630,4314035;4186,74224
340208;Sant Ferriol;42,93966532;192,9114883
347535;Sant Fost de Campsentelles;5133,309777;55876,41582
343444;Sant Fruitós de Bages;17506,3476;63347,47598
340209;Sant Gregori;2447,953466;24961,70358
340553;Sant Guim de Freixenet;4708,514187;8389,432328
340550;Sant Guim de la Plana;964,4541787;2765,469034
340206;Sant Hilari Sacalm;814,7499589;28844,20921
343447;Sant Hipòlit de Voltregà;1457,789865;14495,12905
348943;Sant Iscle de Vallalta;7938,447578;15273,41846
343448;Sant Jaume de Frontanyà;578,654246;578,654246
340207;Sant Jaume de Llierca;3752,252811;8325,065699
345496;Sant Jaume dels Domenys;364,4481629;23098,26318
343187;Sant Jaume d'Enveja;7834,85311;16351,87268
340204;Sant Joan de les Abadesses;5261,58071;11681,85882
340216;Sant Joan de Mollet;275,2272202;4618,405474
343235;Sant Joan de Vilatorrada;3428,193598;22619,63648
343449;Sant Joan Despí;3495,871908;46428,74622
342524;Sant Joan les Fonts;5890,347888;24175,13003
340203;Sant Jordi Desvalls;864,9754179;4937,241167
341775;Sant Julià de Cerdanyola;3085,123578;3085,123578
340217;Sant Julià de Ramis;2083,403892;19111,84413
340438;Sant Julià de Vilatorta;3637,900591;23541,21922
341397;Sant Julià del Llor i Bonmatí;0;7714,350766
347180;Sant Just Desvern;772,6721199;50305,13823
344630;Sant Llorenç de la Muga;738,0256908;3195,377568
340555;Sant Llorenç de Morunys;4179,078436;6835,196236
340441;Sant Llorenç d'Hortons;17703,01295;19315,51965
340439;Sant Llorenç Savall;14094,98752;19559,99851
340442;Sant Martí d'Albars;392,6023371;767,3302998
345937;Sant Martí de Centelles;4333,758512;11556,66629
344633;Sant Martí de Llémena;6128,386241;8116,476768
341318;Sant Martí de Riucorb;2511,186508;7159,388708
340446;Sant Martí de Tous;5506,909208;6791,203234
340445;Sant Martí Sarroca;1409,962643;12419,09283
340448;Sant Martí Sesgueioles;1855,420842;2803,441978
344632;Sant Martí Vell;491,9495099;2241,576479
340447;Sant Mateu de Bages;5247,497654;5247,497654
344627;Sant Miquel de Campmajor;1422,137219;1422,137219
344626;Sant Miquel de Fluvià;1648,332105;7577,602696
344629;Sant Mori;2040,341925;2040,341925
344628;Sant Pau de Segúries;4365,498779;5214,222432
341476;Sant Pere de Ribes;2994,446506;114495,8578
341445;Sant Pere de Riudebitlles;2798,214865;10330,10118
342903;Sant Pere de Torelló;1880,92153;13786,42842
341485;Sant Pere de Vilamajor;1340,461105;60745,55895
344634;Sant Pere Pescador;4251,41489;17303,28109
344199;Sant Pere Sallavinera;1181,438836;1521,202201
341355;Sant Pol de Mar;6017,321999;25512,97057
341330;Sant Quintí de Mediona;7436,025611;11179,75963
341484;Sant Quirze de Besora;4436,537801;12149,1359
342912;Sant Quirze del Vallès;25819,46269;94535,96357
341497;Sant Quirze Safaja;2576,583341;16874,89712
340551;Sant Ramon;2484,187301;5600,983706
347477;Sant Sadurní d'Anoia;2656,782349;34705,53457
345430;Sant Sadurní d'Osormort;93,2407238;637,9764247
346616;Sant Salvador de Guardiola;22249,55935;45509,13145
346446;Sant Vicenç de Castellet;7178,532783;34092,28879
346440;Sant Vicenç de Montalt;25820,18752;52889,78706
346439;Sant Vicenç de Torelló;2742,004039;12865,51342
346445;Sant Vicenç dels Horts;5567,859874;76471,9685
345497;Santa Bàrbara;1984,042611;32295,78982
347469;Santa Cecília de Voltregà;600,3060865;600,3060865
345486;Santa Coloma de Cervelló;1596,000608;35004,8065
342519;Santa Coloma de Farners;3145,074357;55207,88649
347480;Santa Coloma de Gramenet;3125,299985;68574,01003
345498;Santa Coloma de Queralt;6420,927907;20753,32306
342520;Santa Cristina d'Aro;9326,583311;78380,35246
347479;Santa Eugènia de Berga;2474,196029;11850,02583
347478;Santa Eulàlia de Riuprimer;1908,302059;5453,256242
346759;Santa Eulàlia de Ronçana;1310,566043;71350,78209
346758;Santa Fe del Penedès;80,66787653;1232,495572
342521;Santa Llogaia d'Àlguema;190,5907378;5793,069572
339492;Santa Margarida de Montbui;3797,931601;23266,14865
339493;Santa Margarida i els Monjos;816,6955623;27008,77607
341733;Santa Maria de Besora;0;1148,128644
339490;Santa Maria de Martorelles;848,7094511;5484,585596
339489;Santa Maria de Merlès;237,6690734;237,6690734
342590;Santa Maria de Miralles;459,4268431;459,4268431
339515;Santa Maria de Palautordera;8462,414533;60306,94727
339509;Santa Maria d'Oló;1152,899387;6376,451774
339878;Santa Oliva;836,4103246;29398,4511
342523;Santa Pau;1061,332541;8370,324081
346444;Santa Perpètua de Mogoda;10909,78277;88495,29519
346443;Santa Susanna;18203,65801;44330,1443
348944;Santpedor;12006,38509;36204,68133
339880;Sarral;2997,872446;10188,82436
342525;Sarrià de Ter;2015,979442;23933,39506
347355;Sarroca de Bellera;2221,137273;3573,634711
347354;Sarroca de Lleida;542,7299938;2112,512555
342526;Saus, Camallera i Llampaies;6811,231701;11054,03057
339879;Savallà del Comtat;231,0257204;2060,117157
339876;Senan;172,7983582;586,4311412
347352;Senterada;776,7249765;1210,016117
346441;Sentmenat;6502,364543;46169,68271
346731;Serinyà;1061,666362;7883,724634
347350;Seròs;4620,539065;7437,893449
346730;Serra de Daró;1407,105217;3879,802412
346729;Setcases;2329,830281;2916,011597
346437;Seva;5250,954898;56575,73968
347351;Sidamon;2215,019999;5410,111402
346728;Sils;3144,923837;53756,7114
342217;Sitges;1333,618217;101888,5797
343219;Siurana;1402,560818;2009,326283
341135;Sobremunt;1088,275783;1088,275783
339875;Solivella;4507,154469;4507,154469
347349;Solsona;4157,090312;33724,69116
342215;Sora;3233,113219;4094,847085
347356;Soriguera;4649,607588;4649,607588
347357;Sort;10523,07843;16253,82289
342730;Soses;1956,040271;4603,773101
342216;Subirats;3877,263708;38750,20908
342729;Sudanell;2076,024207;6929,78512
342731;Sunyer;1815,054166;2344,034117
346328;Súria;4842,269112;17976,33801
346727;Susqueda;0;0
346327;Tagamanent;614,5182111;6557,570418
342212;Talamanca;443,2356222;5133,205131
342726;Talarn;8516,474746;10618,26209
342728;Talavera;4550,623122;5749,603708
346321;Taradell;6433,679457;35479,10437
339887;Tarragona;91731,67377;285125,3033
342727;Tàrrega;8275,370742;61677,55907
342733;Tarrés;531,6536681;1661,456772
342732;Tarroja de Segarra;101,0315515;2054,755464
342214;Tavèrnoles;213,2543093;2012,227501
346046;Tavertet;545,2581113;1832,243128
343672;Teià;13956,36237;31327,89552
347640;Térmens;6633,601849;10695,71112
346725;Terrades;792,6074547;2211,944914
